edu_attain_final,,,,,,,
Continent,country,years,subject,asab,val,total_pop,pop_with_given_ed_mil
Europe,ITA,2001,NONE,WOMEN,57.438786,29.394672,16.88394275
Europe,ITA,2001,TRY,MEN,10.217789,27.582304,2.818301624
Europe,ITA,2001,TRY,WOMEN,9.881321,29.394672,2.904581897
Europe,ITA,2001,UPPSRY,MEN,33.776081,27.582304,9.316221341
Europe,ITA,2001,UPPSRY,WOMEN,32.679893,29.394672,9.606147357
Asia,JPN,2001,NONE,MEN,63.463753,62.244,39.50237842
Asia,JPN,2001,NONE,WOMEN,68.250788,65.047,44.39509007
Asia,JPN,2001,TRY,MEN,36.536247,62.244,22.74162158
Asia,JPN,2001,TRY,WOMEN,31.749212,65.047,20.65190993
Asia,KOR,2001,NONE,MEN,22.988506,23.854971,5.48390144
Asia,KOR,2001,NONE,WOMEN,38.08267,23.515193,8.95521335
Asia,KOR,2001,TRY,MEN,30.529858,23.854971,7.282888772
Asia,KOR,2001,TRY,WOMEN,19.03673,23.515193,4.4765238
Asia,KOR,2001,UPPSRY,MEN,46.481636,23.854971,11.08818079
Asia,KOR,2001,UPPSRY,WOMEN,42.8806,23.515193,10.08345585
Europe,LVA,2001,NONE,MEN,23.898204,1.074607,0.256811773
Europe,LVA,2001,NONE,WOMEN,18.07737,1.262565,0.228238547
Europe,LVA,2001,TRY,MEN,15.02216,1.074607,0.161429183
Europe,LVA,2001,TRY,WOMEN,20.249584,1.262565,0.25566416
Europe,LVA,2001,UPPSRY,MEN,61.079636,1.074607,0.656366044
Europe,LVA,2001,UPPSRY,WOMEN,61.673046,1.262565,0.778662293
N America,MEX,2001,NONE,MEN,68.446162,49.147826,33.6398006
N America,MEX,2001,NONE,WOMEN,71.98321,50.957473,36.6808248
N America,MEX,2001,TRY,MEN,18.459782,49.147826,9.072581537
N America,MEX,2001,TRY,WOMEN,12.193707,50.957473,6.213604952
N America,MEX,2001,UPPSRY,MEN,13.094056,49.147826,6.435443859
N America,MEX,2001,UPPSRY,WOMEN,15.823083,50.957473,8.063043247
Europe,NLD,2001,NONE,MEN,31.263859,7.940911,2.482635218
Europe,NLD,2001,NONE,WOMEN,38.606445,8.105271,3.129156991
Europe,NLD,2001,TRY,MEN,25.742794,7.940911,2.04421236
Europe,NLD,2001,TRY,WOMEN,20.608261,8.105271,1.670355402
Europe,NLD,2001,UPPSRY,MEN,42.993347,7.940911,3.414063421
Europe,NLD,2001,UPPSRY,WOMEN,40.785294,8.105271,3.305758607
Europe,POL,2001,NONE,MEN,17.781709,18.531251,3.295173127
Europe,POL,2001,NONE,WOMEN,21.014166,19.716825,4.143326335
Europe,POL,2001,TRY,MEN,10.602324,18.531251,1.964743272
Europe,POL,2001,TRY,WOMEN,13.131769,19.716825,2.589167913
